Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:5820,JIH SUN FINANCIAL HOLDING LTD,5820,1/23/2022,Global Equity,Common stocks,Emerging markets,Financials,TW0005820005,6439608,0,TWD,Analyze
TT:5903,Taiwan Familymart Co Ltd/Taiwan Common Stock Twd,5903,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0005903009,6440945,0,TWD,Analyze
TT:5904,POYA LTD,5904,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0005904007,6541826,0,TWD,Analyze
TT:6121,SIMPLO TECHNOLOGY LTD,6121,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006121007,6421928,0,TWD,Analyze
TT:6146,Sporton International Inc Common Stock Twd 10,6146,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,TW0006146004,6431381,0,TWD,Analyze
TT:6147,CHIPBOND TECHNOLOGY CORP,6147,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006147002,6432801,0,TWD,Analyze
TT:6173,Prosperity Dielectrics Co. Ltd.,6173,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:6180,Gamania Digital Entertainment Co. Ltd.,6180,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006180003,6432049,0,TWD,Analyze
TT:6182,WAFER WORKS CORP,6182,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006182009,6522939,0,TWD,Analyze
TT:6188,Quanta Storage Inc Common Stock Twd 10,6188,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006188006,6431864,0,TWD,Analyze
TT:6238,Kingpak Technology Inc.,6238,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006238009,6603878,0,TWD,Analyze
TT:6244,MOTECH INDUSTRIES INC,6244,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006244007,6609445,0,TWD,Analyze
TT:6274,TAIWAN UNION TECHNOLOGY CORP,6274,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006274004,6716538,0,TWD,Analyze
TT:6279,HU LANE ASSOCIATE INC,6279,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0006279003,6708698,0,TWD,Analyze
TT:6290,Longwell Company,6290,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,TW0006290000,B04VQ99,0,TWD,Analyze
TT:6446,PHARMAESSENTIA CORP,6446,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0006446008,BJTCKZ4,0,TWD,Analyze
TT:6462,EGIS TECHNOLOGY INC,6462,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006462005,BN5RZ56,0,TWD,Analyze
TT:6488,GLOBALWAFERS LTD,6488,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006488000,BS7JP33,0,TWD,Analyze
TT:6492,Senhwa Biosciences Inc,6492,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,,,0,TWD,Analyze
TT:6495,Nanoplus Ltd.,6495,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,,,0,TWD,Analyze
TT:6497,Aslan Pharmaceuticals Ltd.,6497,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,,,0,TWD,Analyze
TT:6510,CHUNGHWA PRECISION TEST TECH LTD,6510,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006510001,BSP1ZW0,0,TWD,Analyze
TT:6527666,Ctbc Financial Holding Ltd Dummy R,6527666,1/23/2022,Global Equity,Common stocks,Emerging markets,Financials,,,0,TWD,Analyze
TT:6548,Chang Wah Technology Co Ltd Common Stock Twd 10,6548,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006548001,BYR4GB5,0,TWD,Analyze
